uniprot_id	SPAT_score
P04217	0
M0R009	0
Q5T0W7	0
Q9NQ94	0
F8W9F8	0
Q9NQ94-2	0
Q7Z2U9	0
Q9NQ94-4	0
F5H1E8	0
L0R6B6	0
Q9BQ22	0
P01023	0
H0YFH1	0
F8W7L3	0
A8K2U0	0
H0YH14	0
H0YGG5	0
F5GYG7	0
A8K2U0-2	0
F5GXP1	0
U3KPV4	2
Q6RJV8	1
Q7Z7C5	1
Q6RJV7	1
Q6RJW0	1
F2VPV5	1
Q6RJV6	1
Q9NPC4	1
Q7Z7C2	1
R4X5Z8	1
M1KVK7	1
S6CRD2	1
Q540I5	1
Q7Z7C3	1
Q540I6	1
Q5D079	1
F2VPV4	1
B0L3P6	1
Q6RJV9	1
A0A0S2Z671	1
Q7Z7C6	1
S6CPX2	1
Q7Z2I1	1
S6CQT5	1
A0A192ZI69	1
B0L3P7	1
A0A0S2Z5J1	1
Q7Z7C4	1
Q6RJW1	1
S6CQ09	1
Q9UNA3	2
D9DBT2	2
Q9NRG9	2
Q9NRG9-2	2
D9DBT1	2
D9DBT0	2
F8VZ44	2
D9DBT3	2
D9DBS9	2
F8VUB6	2
H3BU82	2
L8ECK1	0
A0A024RBV2	0
E7EW25	0
Q86V21	0
Q49AJ4	0
P22760	1
C9K0E9	1
Q6P093	1
F8WFE5	1
Q5VUY0	3
L8E711	1
Q5VUY2	1
Q4W5N8	2
Q8N5Z0-2	2
Q8N5Z0	2
D6RFY7	2
D6RC56	2
D6REB9	2
H0Y5J5	0
Q7RTV5	0
H0Y7F1	0
H0YL49	0
Q6PD74-2	0
Q6PD74	0
E9PG46	7
A0A096LP25	7
D6W5G0	7
B7ZLC4	7
Q2M2I8	7
Q9BUD9	7
Q2M2I8-2	7
L0R804	7
A0A096LP60	7
A0A096LNZ0	7
H0YF35	0
Q9H7C9	0
E9PR47	0
Q9H7C9-3	0
E9PLK9	0
E9PJP1	0
E9PIQ4	0
K4DI89	0
E9PNP3	0
C9JTS3	8
C9JEH3	8
C9JG97	8
H7C0R2	8
A0A024R410	8
Q13685	8
Q9H3T1	0
Q9GZS4	0
Q16613	0
K7ERF6	0
Q16613-2	0
Q9H3S9	0
K7ESH7	0
F1T0I5	0
Q9H3T0	0
A2A2Q9	0
Q9Y312	0
Q4LEZ3	0
H3BPK7	2
P49588	2
A2VCL8	0
Q5JTZ9	0
K7EQ85	0
Q9BTE6	0
Q9BTE6-3	0
K7N799	0
Q9BTE6-2	0
L7N2F5	0
L7N2F4	0
H7C1K1	0
Q4L235-2	0
Q4L235-4	0
Q4L235-3	0
Q4L235	0
E9PH98	0
D6RJA2	0
R4GNB1	0
Q9NRN7-2	0
E9PLW6	0
Q9NRN7	0
E9PNF3	0
A4D0W4	0
F8WE53	0
Q9UDR5	0
F8WAH1	0
H7C0C6	0
A0A087WWS8	0
A0A087WW41	0
Q9NY61	0
A0A087WTH8	0
Q6ZMQ8	1
I3L360	1
Q6ZMQ8-3	1
H7C175	1
I3L461	1
H3BRN4	0
H3BRJ1	0
H3BPW8	0
P80404	0
H3BP84	0
H3BP74	0
X5D8S1	0
H3BRT1	0
H3BNQ7	0
H3BMJ9	0
X5D2Y3	0
Q9NP93	9
B2RUU2	9
B1AMI2	9
B1AMI1	9
B7XCW9	9
O95477	9
A5D8U6	9
L8E884	9
Q8WWZ4-3	2
E5RFN6	2
E5RFP5	2
Q8WWZ4	2
K7ERP5	2
H0YBL8	2
K7EMH5	2
Q8WWZ4-5	2
Q86UK0	5
Q86UK0-2	5
E9PBK1	5
H0Y4D2	2
Q86UQ4-2	2
F5H7B7	2
Q86UQ4	2
A0A0A0MT16	2
H7BZI9	2
L8E9N5	2
H7C0U5	2
A0A087WXK5	5
Q08EJ9	5
J3QSS3	5
H0Y8D6	5
H0Y8E3	5
Q13039	5
A0A096LP90	5
H0Y8C9	5
Q6P2G5	5
E9PGB2	5
Q96HC2	5
H7C5M6	5
Q9BZC7	5
Q99758-2	5
Q4LE27	5
A7MBM9	5
Q99758	5
H0Y3H2	5
P78363	10
F6TT59	10
K7EMV2	1
K7EQ50	1
K7EKS9	1
A0A075B778	1
Q05C38	1
K7EPM3	1
K7ENF9	1
K7EJW6	1
Q8WWZ7	1
Q6N017	1
A0A024R8J6	1
Q8N139	1
A4FVC6	1
Q8N139-3	1
A0A087WX86	9
H0YCN5	9
Q8IZY2-2	9
D6W5Y0	9
A0A087WUR5	9
H0YF58	9
Q8IZY2	9
E9PKG5	9
L8EB07	9
A0A087WZX6	9
E9PL63	9
O94911	4
A0A024R8L6	4
Q49AI9	4
A0A0A0MSU4	4
O94911-3	4
K7ELK9	4
A0A075B774	4
Q8IUA7-5	1
H0Y4U7	1
K7EJJ0	1
Q8IUA7	1
F4ZV79	9
F4ZUY5	9
F4ZUX9	9
A1L471	9
B5U2G4	9
P08183-2	9
F4ZUT2	9
Q6TBL4	9
F4ZUV0	9
P08183	9
F4ZUQ5	9
F4ZUV4	9
E7EWT8	9
A4D1D2	9
A8E2S6	9
Q9NRK6	1
A0A2U9Q1W5	9
O95342	9
Q53S60	9
H7C486	9
A7J1R0	9
A7J1Q3	9
A7J1S5	9
Q6PJ81	9
E7EQI1	9
A7J1R8	9
A7J1Q9	9
A7K6Y6	9
A7J1R5	9
A7J1Q4	9
A7J1S3	9
A7J1S4	9
A7J1Q7	9
A7J1Q5	9
A8HT68	9
A7J1R3	9
E5LR39	9
A7J1S0	9
Q4G0Q4	9
P21439-2	9
A7J1R4	9
V5N6U4	9
A0A2R8Y8A1	9
A7J1R9	9
H7C0M2	9
P21439	9
A7J1R6	9
A8HT72	9
A7J1S2	9
A0A2R8Y291	9
A7J1Q6	9
P21439-3	9
A7J1Q8	9
A7J1R7	9
A7J1R1	9
Q75MQ5	9
A7J1S1	9
A7J1R2	9
Q2M3G0-2	7
Q2M3G0	7
H7C165	7
A0ASV4	7
Q2M3G0-3	7
Q2M3G0-1	7
H7C049	4
A0A024R436	4
U3TJK0	4
H7BXK9	4
U3TD89	4
H7C1R6	4
U3TGG4	4
U3THP2	4
Q9NP58-4	4
H7C245	4
U3THN0	4
U3TJJ6	4
H7C3Z0	4
A0A1D9ITY9	4
Q9NP58	4
A0A2R8Y3N2	2
E9PJR8	2
A0A0S2Z2Z3	2
A0A2R8YF35	2
A0A0S2Z376	2
E9PNQ5	2
B4DGL8	2
A0A0S2Z2W5	2
A0A2R8Y473	2
A0A0S2Z367	2
O75027-2	2
O75027-3	2
O75027	2
A0A087WW65	2
L8EAK9	2
C9JYI3	2
F8WC43	2
Q9NUT2	2
C9JA03	2
Q9NUT2-4	2
F2Z2Z1	2
H7C5K9	2
Q9NUT2-2	2
C9JTY4	2
F2Z3G8	2
Q9NUT2-3	2
F5H5F9	3
A0A024RBU1	3
F5H5Q0	3
F5H7U2	3
Q9NP78-7	3
F5H5I5	3
Q9NP78-5	3
F5H4Y2	3
F5GX86	3
F5GXZ5	3
F5GYI2	3
H7C478	3
F5H0G0	3
Q6P2Q0	3
Q9NP78	3
Q9NP78-6	3
Q9NP78-2	3
P33527	10
G0ZCM5	10
G0ZCM4	10
G0ZCM3	10
G0ZCM6	10
A0A0A0MS99	10
I3L4X2	10
I3L2H9	10
D6R9B3	5
A0A024RD21	5
Q5T3U5	5
H0Y904	5
Q5T3U5-2	5
Q96J66	7
Q96J66-2	7
A0A024R6R9	7
H3BRJ2	7
A0A024R6Q6	7
A0A024R6Q5	4
B4DYN2	4
Q96J65-2	4
Q96J65-3	4
Q96J65-4	4
Q96J65	4
E9PHY2	4
Q96J65-5	4
Q92887	10
Q5TCZ5	10
Q2M3C9	10
H0Y8Q6	10
D6RAB7	10
