ENSEMBL_id	SPAT_score
ENSG00000168118	5
ENSG00000115232	10
ENSG00000139626	10
ENSG00000232414	0
ENSG00000235134	0
ENSG00000233151	0
ENSG00000231852	0
ENSG00000206338	0
ENSG00000198457	0
ENSG00000175164	1
ENSG00000140368	3
ENSG00000130821	10
ENSG00000206240	9
ENSG00000228080	9
ENSG00000229074	9
ENSG00000206306	9
ENSG00000236884	9
ENSG00000196126	9
ENSG00000206240	1
ENSG00000228080	1
ENSG00000229074	1
ENSG00000206306	1
ENSG00000236884	1
ENSG00000196126	1
ENSG00000159216	0
ENSG00000231225	9
ENSG00000233051	9
ENSG00000235233	9
ENSG00000183214	9
ENSG00000204520	9
ENSG00000234745	10
ENSG00000232126	10
ENSG00000224608	10
ENSG00000223532	10
ENSG00000228964	10
ENSG00000206450	10
ENSG00000147596	0
ENSG00000112077	9
ENSG00000187010	6
ENSG00000149506	10
ENSG00000171094	10
ENSG00000160255	10
ENSG00000077498	2
ENSG00000231021	9
ENSG00000227357	9
ENSG00000227826	9
ENSG00000198502	9
ENSG00000231679	9
ENSG00000196101	9
ENSG00000230463	9
ENSG00000231834	10
ENSG00000206503	10
ENSG00000235657	10
ENSG00000223980	10
ENSG00000224320	10
ENSG00000206505	10
ENSG00000227715	10
ENSG00000229215	10
ENSG00000157168	9
ENSG00000171862	2
ENSG00000125304	4
ENSG00000106366	0
ENSG00000106367	2
ENSG00000128563	0
ENSG00000206140	2
ENSG00000102007	6
ENSG00000196998	2
ENSG00000102096	0
ENSG00000147155	5
ENSG00000167191	9
ENSG00000102317	0
ENSG00000068438	0
ENSG00000015285	0
ENSG00000017483	10
ENSG00000072134	0
ENSG00000141127	0
ENSG00000116128	0
ENSG00000131781	1
ENSG00000083290	3
ENSG00000128487	1
ENSG00000132432	9
ENSG00000180104	0
ENSG00000112877	0
ENSG00000280688	0
ENSG00000168961	0
ENSG00000101997	1
ENSG00000109083	0
ENSG00000068308	0
ENSG00000087095	1
ENSG00000087111	1
ENSG00000269313	0
ENSG00000076604	4
ENSG00000166484	0
ENSG00000243279	9
ENSG00000068323	0
ENSG00000094631	0
ENSG00000198720	6
ENSG00000073578	0
ENSG00000126653	0
ENSG00000166482	0
ENSG00000115762	2
ENSG00000109046	0
ENSG00000109084	9
ENSG00000249915	1
ENSG00000062725	1
ENSG00000108506	2
ENSG00000104714	0
ENSG00000282665	0
ENSG00000182372	1
ENSG00000278220	1
ENSG00000036448	0
ENSG00000274137	0
ENSG00000109107	0
ENSG00000167543	9
ENSG00000109113	0
ENSG00000160551	0
ENSG00000116731	0
ENSG00000142634	5
ENSG00000116771	0
ENSG00000157191	4
ENSG00000121068	0
ENSG00000147364	0
ENSG00000103051	0
ENSG00000168488	1
ENSG00000106723	0
ENSG00000136099	9
ENSG00000102837	5
ENSG00000171729	1
ENSG00000157350	1
ENSG00000142627	9
ENSG00000103507	0
ENSG00000037637	0
ENSG00000229809	2
ENSG00000188603	5
ENSG00000169217	0
ENSG00000261832	5
ENSG00000063177	2
ENSG00000105483	0
ENSG00000213658	9
ENSG00000087088	2
ENSG00000074219	0
ENSG00000167394	0
ENSG00000083544	0
ENSG00000126456	0
ENSG00000169169	0
ENSG00000140688	1
ENSG00000140682	4
ENSG00000156873	0
ENSG00000126458	5
ENSG00000204673	0
ENSG00000142227	5
ENSG00000169136	0
ENSG00000180209	0
ENSG00000105499	2
ENSG00000090554	10
ENSG00000063176	1
ENSG00000105516	0
ENSG00000142528	0
ENSG00000105053	0
ENSG00000266412	0
ENSG00000166780	0
ENSG00000278823	0
ENSG00000122952	0
ENSG00000072401	0
ENSG00000133392	3
ENSG00000276480	3
ENSG00000108091	0
ENSG00000165443	0
ENSG00000156515	2
ENSG00000197467	10
ENSG00000072422	6
ENSG00000172731	0
ENSG00000107736	10
ENSG00000138303	0
ENSG00000148730	0
ENSG00000176986	0
ENSG00000122861	9
ENSG00000035403	1
ENSG00000148634	0
ENSG00000165637	2
ENSG00000122852	0
ENSG00000099284	0
ENSG00000170312	1
ENSG00000185303	0
ENSG00000096717	0
ENSG00000197746	1
ENSG00000107742	0
ENSG00000168209	0
ENSG00000166317	2
ENSG00000164283	0
ENSG00000185009	0
