sample	group
03H022	Query
03H028	Query
03H094	Query
04H017	Query
04H101	Query
04H115	Query
04H127	Query
06H004	Query
06H075	Query
06H135	Query
07H024	Query
07H034	Query
07H148	Query
07H156	Query
08H018	Query
08H022	Query
08H054	Query
09H078	Query
09H084	Query
09H089	Query
10H014	Query
10H066	Query
10H078	Query
10H087	Query
10H113	Query
10H130	Query
11H002	Query
11H044	Query
11H103	Query
11H132	Query
11H145	Query
11H177	Query
11H187	Query
12H012	Query
12H058	Query
12H067	Query
12H106	Query
12H117	Query
12H170	Query
13H018	Query
13H056	Query
13H141	Query
02H026	Ref
03H030	Ref
03H090	Ref
04H132	Ref
05H180	Ref
06H016	Ref
06H029	Ref
06H074	Ref
07H038	Ref
08H033	Ref
09H045	Ref
09H054	Ref
09H057	Ref
09H085	Ref
10H034	Ref
10H051	Ref
10H174	Ref
11H017	Ref
11H140	Ref
11H170	Ref
11H175	Ref
12H055	Ref
12H096	Ref
12H138	Ref
12H149	Ref
13H150	Ref
