Protein Group,Protein ID,Accession,Significance,-10lgP,Intensity Sample 1 : TMT10-126,Intensity Sample 2 : TMT10-126,Intensity Sample 3 : TMT10-126,Intensity Sample 1 : TMT10-127N,Intensity Sample 2 : TMT10-127N,Intensity Sample 3 : TMT10-127N,Intensity Sample 1 : TMT10-127C,Intensity Sample 2 : TMT10-127C,Intensity Sample 3 : TMT10-127C,Intensity Sample 1 : TMT10-128C,Intensity Sample 2 : TMT10-128C,Intensity Sample 3 : TMT10-128C,Intensity Sample 1 : TMT10-129C,Intensity Sample 2 : TMT10-129C,Intensity Sample 3 : TMT10-129C,Intensity Sample 1 : TMT10-130C,Intensity Sample 2 : TMT10-130C,Intensity Sample 3 : TMT10-130C,Intensity Sample 1 : TMT10-131,Intensity Sample 2 : TMT10-131,Intensity Sample 3 : TMT10-131,Ratio Sample 1 : TMT10-126,Ratio Sample 2 : TMT10-126,Ratio Sample 3 : TMT10-126,Ratio Sample 1 : TMT10-127N,Ratio Sample 2 : TMT10-127N,Ratio Sample 3 : TMT10-127N,Ratio Sample 1 : TMT10-127C,Ratio Sample 2 : TMT10-127C,Ratio Sample 3 : TMT10-127C,Ratio Sample 1 : TMT10-128C,Ratio Sample 2 : TMT10-128C,Ratio Sample 3 : TMT10-128C,Ratio Sample 1 : TMT10-129C,Ratio Sample 2 : TMT10-129C,Ratio Sample 3 : TMT10-129C,Ratio Sample 1 : TMT10-130C,Ratio Sample 2 : TMT10-130C,Ratio Sample 3 : TMT10-130C,Ratio Sample 1 : TMT10-131,Ratio Sample 2 : TMT10-131,Ratio Sample 3 : TMT10-131,Intensity Group 1(Sample 1 : TMT10-126; Sample 2 : TMT10-126; Sample 3 : TMT10-126),Intensity Group 2(Sample 1 : TMT10-127N; Sample 2 : TMT10-127N; Sample 3 : TMT10-127N),Intensity Group 3(Sample 1 : TMT10-127C; Sample 2 : TMT10-127C; Sample 3 : TMT10-127C),Intensity Group 4(Sample 1 : TMT10-128C; Sample 2 : TMT10-128C; Sample 3 : TMT10-128C),Intensity Group 5(Sample 1 : TMT10-129C; Sample 2 : TMT10-129C; Sample 3 : TMT10-129C),Intensity Group 6(Sample 1 : TMT10-130C; Sample 2 : TMT10-130C; Sample 3 : TMT10-130C),Intensity Group 7(Sample 1 : TMT10-131; Sample 2 : TMT10-131; Sample 3 : TMT10-131),Ratio Group 1(Sample 1 : TMT10-126; Sample 2 : TMT10-126; Sample 3 : TMT10-126),Ratio Group 2(Sample 1 : TMT10-127N; Sample 2 : TMT10-127N; Sample 3 : TMT10-127N),Ratio Group 3(Sample 1 : TMT10-127C; Sample 2 : TMT10-127C; Sample 3 : TMT10-127C),Ratio Group 4(Sample 1 : TMT10-128C; Sample 2 : TMT10-128C; Sample 3 : TMT10-128C),Ratio Group 5(Sample 1 : TMT10-129C; Sample 2 : TMT10-129C; Sample 3 : TMT10-129C),Ratio Group 6(Sample 1 : TMT10-130C; Sample 2 : TMT10-130C; Sample 3 : TMT10-130C),Ratio Group 7(Sample 1 : TMT10-131; Sample 2 : TMT10-131; Sample 3 : TMT10-131),Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
9,4,P21333,130.12,365.42,3.634E6,4.091E6,3.846E6,5.394E6,5.625E6,5.519E6,8.674E6,9.553E6,9.379E6,8.406E6,8.771E6,8.528E6,1.029E7,1.108E7,1.112E7,8.694E6,9.475E6,9.535E6,5.578E6,5.712E6,5.653E6,1.00,1.13,1.06,1.48,1.55,1.52,2.39,2.63,2.58,2.31,2.41,2.35,2.83,3.05,3.06,2.39,2.61,2.62,1.53,1.57,1.56,1.157E7,1.654E7,2.761E7,2.57E7,3.248E7,2.77E7,1.694E7,1.00,1.43,2.39,2.22,2.81,2.39,1.46,69,334,287,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M); Phosphorylation (STY),280737,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4
33,1,P22626,87.60,359.41,2.889E6,4.12E6,4.26E6,1.291E7,1.308E7,1.544E7,6.035E6,8.126E6,9.075E6,1.405E7,1.578E7,1.816E7,7.234E6,8.546E6,1.018E7,7.403E6,9.557E6,1.12E7,7.805E6,7.444E6,8.523E6,1.00,1.43,1.47,4.47,4.53,5.35,2.09,2.81,3.14,4.86,5.46,6.29,2.50,2.96,3.52,2.56,3.31,3.88,2.70,2.58,2.95,1.127E7,4.144E7,2.324E7,4.799E7,2.596E7,2.816E7,2.377E7,1.00,3.68,2.06,4.26,2.30,2.50,2.11,85,91,76,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M); Phosphorylation (STY),37430,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2
6,51,Q09666,200.00,346.06,6.126E6,5.626E6,5.874E6,1.577E7,1.437E7,1.492E7,1.026E7,9.336E6,9.697E6,1.058E7,9.662E6,9.912E6,3.226E7,2.926E7,3.039E7,1.738E7,1.586E7,1.65E7,7.14E6,6.145E6,6.886E6,1.00,0.92,0.96,2.57,2.35,2.44,1.68,1.52,1.58,1.73,1.58,1.62,5.27,4.78,4.96,2.84,2.59,2.69,1.17,1.00,1.12,1.763E7,4.506E7,2.93E7,3.015E7,9.19E7,4.975E7,2.017E7,1.00,2.56,1.66,1.71,5.21,2.82,1.14,56,342,341,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M); Phosphorylation (STY),629114,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2
26,3,O75369,200.00,342.93,1.754E6,1.806E6,2.023E6,3.705E6,3.842E6,3.794E6,3.028E6,3.236E6,3.434E6,9.422E6,9.144E6,9.033E6,8.188E6,8.534E6,8.176E6,4.128E6,4.418E6,4.503E6,2.991E6,2.879E6,2.887E6,1.00,1.03,1.15,2.11,2.19,2.16,1.73,1.85,1.96,5.37,5.21,5.15,4.67,4.87,4.66,2.35,2.52,2.57,1.71,1.64,1.65,5.583E6,1.134E7,9.698E6,2.76E7,2.49E7,1.305E7,8.757E6,1.00,2.03,1.74,4.94,4.46,2.34,1.57,68,267,224,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M); Phosphorylation (STY),278162,Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2
7,20,P35579,18.61,340.02,7.476E6,7.1E6,7.16E6,1.6E7,1.477E7,1.437E7,1.553E7,1.451E7,1.399E7,1.601E7,1.412E7,1.412E7,1.167E7,1.067E7,1.031E7,1.308E7,1.232E7,1.168E7,9.765E6,8.836E6,8.56E6,1.00,0.95,0.96,2.14,1.98,1.92,2.08,1.94,1.87,2.14,1.89,1.89,1.56,1.43,1.38,1.75,1.65,1.56,1.31,1.18,1.14,2.174E7,4.514E7,4.403E7,4.425E7,3.265E7,3.709E7,2.716E7,1.00,2.08,2.03,2.04,1.50,1.71,1.25,54,307,228,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M); Phosphorylation (STY),226530,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4
19,49,P78527,39.86,332.39,4.274E6,3.964E6,4.877E6,7.445E6,7.149E6,8.563E6,5.904E6,5.946E6,7.45E6,1.011E7,9.521E6,1.123E7,9.236E6,9.015E6,1.065E7,6.853E6,6.836E6,8.306E6,8.667E6,7.48E6,8.305E6,1.00,0.93,1.14,1.74,1.67,2.00,1.38,1.39,1.74,2.37,2.23,2.63,2.16,2.11,2.49,1.60,1.60,1.94,2.03,1.75,1.94,1.312E7,2.316E7,1.93E7,3.086E7,2.89E7,2.199E7,2.445E7,1.00,1.77,1.47,2.35,2.20,1.68,1.86,54,313,307,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M); Phosphorylation (STY),469093,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3
27,15,Q9Y490,30.72,330.48,3.452E6,3.47E6,3.444E6,6.384E6,5.964E6,6.309E6,6.835E6,6.649E6,7.259E6,9.027E6,8.425E6,9.17E6,6.75E6,6.463E6,6.854E6,5.65E6,5.466E6,5.733E6,4.985E6,4.415E6,5.079E6,1.00,1.01,1.00,1.85,1.73,1.83,1.98,1.93,2.10,2.62,2.44,2.66,1.96,1.87,1.99,1.64,1.58,1.66,1.44,1.28,1.47,1.036E7,1.866E7,2.074E7,2.662E7,2.007E7,1.685E7,1.448E7,1.00,1.80,2.00,2.57,1.94,1.63,1.40,68,277,249,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M); Phosphorylation (STY),269765,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3
1,7,P63261,44.25,322.66,1.23E5,1.087E5,1.8E5,9.464E4,6.273E4,9.431E4,2.618E5,2.503E5,3.969E5,1.756E5,1.032E5,2.086E5,2.35E5,2.285E5,3.452E5,2.832E5,2.627E5,3.947E5,8.526E4,5.241E4,9.554E4,1.00,0.88,1.46,0.77,0.51,0.77,2.13,2.04,3.23,1.43,0.84,1.70,1.91,1.86,2.81,2.30,2.14,3.21,0.69,0.43,0.78,4.116E5,2.517E5,9.09E5,4.875E5,8.088E5,9.406E5,2.332E5,1.00,0.61,2.21,1.18,1.96,2.29,0.57,3,166,2,TMT10plex; Carbamidomethylation; Deamidation (NQ),41793,Actin  cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1
40,21,Q00610,29.61,315.27,2.217E6,2.101E6,2.001E6,5.076E6,3.951E6,3.51E6,3.726E6,3.415E6,3.029E6,6.03E6,4.734E6,4.084E6,4.314E6,3.79E6,3.254E6,4.103E6,3.835E6,3.333E6,4.985E6,3.777E6,3.398E6,1.00,0.95,0.90,2.29,1.78,1.58,1.68,1.54,1.37,2.72,2.13,1.84,1.95,1.71,1.47,1.85,1.73,1.50,2.25,1.70,1.53,6.32E6,1.254E7,1.017E7,1.485E7,1.136E7,1.127E7,1.216E7,1.00,1.98,1.61,2.35,1.80,1.78,1.92,54,202,151,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M),191613,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5
48,84,Q14204,12.63,309.65,1.802E6,1.668E6,1.917E6,4.278E6,4.273E6,4.197E6,2.934E6,3.193E6,3.386E6,5.058E6,5.018E6,4.985E6,2.901E6,3.05E6,3.067E6,3.495E6,3.777E6,3.75E6,4.183E6,4.294E6,4.089E6,1.00,0.93,1.06,2.37,2.37,2.33,1.63,1.77,1.88,2.81,2.79,2.77,1.61,1.69,1.70,1.94,2.10,2.08,2.32,2.38,2.27,5.387E6,1.275E7,9.513E6,1.506E7,9.018E6,1.102E7,1.257E7,1.00,2.37,1.77,2.80,1.67,2.05,2.33,47,241,240,TMT10plex; Carbamidomethylation; Deamidation (NQ); Phosphorylation (STY),532412,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5
